Fly away,Lenny Kravitz,Rock,playlist/fly-away.mp3
Hey Joe,Jimi Hendrix,Rock,playlist/hey-joe.mp3
Round and Round,Ratt,Rock,playlist/round-and-round.mp3
People get up and Drive your Funky Souls,James Brown,Jazz,playlist/funky-soul.mp3
Take Five,The Dave Brubeck Quartet,Jazz,playlist/take-five.mp3
In The Mood,Glenn Miller,Jazz,playlist/in-the-mood.mp3
Bad Habit,Steve Lacy,Pop,playlist/bad-habit.mp3
Vamp Anthem,Playboi Carti,Pop,playlist/vamp-anthem.mp3
Bongo Bong,Manu Chao,Pop,playlist/bongo-bong.mp3
All my ex's live in Texas,Whitey Shafer,Country,playlist/ex-texas.mp3
"Hey, Good Lookin'",Hank,Country,playlist/hey-good-lookin.mp3
Three Cigarettes in an ashtray,Patsy Cline,Country,playlist/three-cigarettes.mp3
Could you be Loved,Bob Marley,Raggae,playlist/could-you-be-loved.mp3
Redemption Song,Bob Marley,Raggae,playlist/redemption-song.mp3
Sweat (A La La La La Long),Inner Circle,Raggae,playlist/sweat.mp3
